"year","em","month","sector","global_total","units"
2040,"CO2",2,"SLV",3878.94254422698,"kt"
2040,"CO2",3,"SLV",4294.54353110845,"kt"
2040,"CO2",4,"SLV",4156.00986881463,"kt"
2040,"CO2",5,"SLV",4294.54353110845,"kt"
2040,"CO2",6,"SLV",4156.00986881463,"kt"
2040,"CO2",7,"SLV",4294.54353110845,"kt"
2040,"CO2",8,"SLV",4294.54353110845,"kt"
2040,"CO2",9,"SLV",4156.00986881463,"kt"
2040,"CO2",10,"SLV",4294.54353110845,"kt"
2040,"CO2",11,"SLV",4156.00986881463,"kt"
2040,"CO2",12,"SLV",4294.54353110845,"kt"
2040,"CO2",1,"WST",11077.4398512487,"kt"
2040,"CO2",2,"WST",10005.4295430634,"kt"
2040,"CO2",3,"WST",11077.4398512487,"kt"
2040,"CO2",4,"WST",10720.1030818536,"kt"
2040,"CO2",5,"WST",11077.4398512487,"kt"
2040,"CO2",6,"WST",10720.1030818536,"kt"
2040,"CO2",7,"WST",11077.4398512487,"kt"
2040,"CO2",8,"WST",11077.4398512487,"kt"
2040,"CO2",9,"WST",10720.1030818536,"kt"
2040,"CO2",10,"WST",11077.4398512487,"kt"
2040,"CO2",11,"WST",10720.1030818536,"kt"
2040,"CO2",12,"WST",11077.4398512487,"kt"
2040,"CO2",1,"SHP",85780.6514369502,"kt"
2040,"CO2",2,"SHP",73618.3076864441,"kt"
2040,"CO2",3,"SHP",89758.0166248684,"kt"
2040,"CO2",4,"SHP",86107.5005016117,"kt"
2040,"CO2",5,"SHP",90488.5351681318,"kt"
2040,"CO2",6,"SHP",84185.7507959076,"kt"
2040,"CO2",7,"SHP",93091.2391511747,"kt"
2040,"CO2",8,"SHP",94342.121255317,"kt"
2040,"CO2",9,"SHP",89778.6267528912,"kt"
2040,"CO2",10,"SHP",96484.479335073,"kt"
2040,"CO2",11,"SHP",93989.8717883158,"kt"
2040,"CO2",12,"SHP",95100.5483153545,"kt"
2040,"CO2",1,"NEGCO2",0,"kt"
2040,"CO2",2,"NEGCO2",0,"kt"
2040,"CO2",3,"NEGCO2",0,"kt"
